tweet_id,timestamp,text,likes,retweets
1.41749E+18,2021/7/20 23:20,東京って何かにチャレンジするために出てきた人って結局故郷に帰る人多いけど、逃亡してきた人は定着する。,4821,700
1.21786E+18,2020/1/17 2:27,この間違え方もいさぎいいよなぁ。 https://t.co/rZxElHAgKk,1769,382
1.47983E+18,2022/1/8 23:41,自分が気がついていないことに気づくのって他者と交流する以外に方法ないです。,696,67
1.44318E+18,2021/9/29 21:00,どうして聖母は左手でキリストを抱くのか？っていう話で美術家とか評論家とか学芸員とかが左で抱くと心臓の音が聞こえて子供に安心感を与える云々ってときに、世間のお母ちゃん達が「右利きだから左手で抱くんだよ。」って言った話はいい話だね。,522,49
1.15858E+18,2019/8/6 12:19,勇気を出して好奇心を持ち、情熱とともに既成概念に囚われない柔軟な心とチャレンジ精神を大切にして、失敗を恐れず体力増進に努めた結果、取り返しのつかない変態になりました。,453,31
1.48779E+18,2022/1/30 23:27,50歳近くなのに精神年齢が小学生程度の人って本当にいるんだけど、不思議なのことにその精神遅滞は恋人や家族の前でのみそうなる。外ではそこそこの社会性を保っているが、友達が全くいない。つまり対して仲良くもない他人に対する社会性はそこそこ簡単に偽装できるということなんです。,409,30
1.24033E+18,2020/3/19 2:13,あのー、、出会いが職場でもナンパでも大学でもバイトでもTwitterでもTinderでも出会い系でも病院でも近所でもサークルでも習い事でも祭りでも飲み屋でもどこでもよくないですか。,337,19
1.26048E+18,2020/5/13 17:17,安心して弱くなれる場所があると強くなる。,317,25
1.12411E+18,2019/5/3 9:15,https://t.co/bY9UROSN3U,293,46
1.39827E+18,2021/5/28 22:23,むかし尊敬する先輩の部屋の引き出しに美人で有名な女友達とのハメ撮り写真を大量に発見したことがある。先輩の部屋で机の引き出しを勝手に開ける私もひどい奴ではあるが、ハメ撮りにうつる友だちの官能的な姿よりも、もっと驚いたのは、彼女の胸には重度の火傷の痕がありケロイド状になっていたこと。,273,18
1.42936E+18,2021/8/22 17:39,別れ話禁止の喫茶店 https://t.co/qJlBWxTl2n,235,4
1.21965E+18,2020/1/22 1:14,"セックスしてウトウトして寝ちゃってまたセックスしてウトウトして眠ってまたセックスして、、、、ってやってるのが恋愛だと思うんです。
わかります？",234,10
1.41569E+18,2021/7/16 0:14,"スケベは35歳までの人と35歳からの人がいるらしい。
私は35歳までで終わり、35歳からまた始まってしまったので、まっとうするしかないかなぁと思っています。",211,7
1.49689E+18,2022/2/25 1:42,最近どっかで見たんだけど、白人はかつて黒人や黄色人種を人間だと思っていなくて、それが同じ人間だったというトラウマからクジラやイルカも、もしかしたら人間かもしれないという恐怖から必要以上に保護するって話。,209,12
1.49325E+18,2022/2/15 0:27,キチガイと芸術家の共通点はその本人の性質とか才能とかではなく「全て他人が評価する」という成り立ちの話なんですよ。,209,22
1.46621E+18,2021/12/2 9:42,恋愛をしろ、結婚をしろ、勉強をしろ、貯金をしろ、という脅迫はなんなのだろう。セックスをしろ、協力しよう、賢くあれ、価値を蓄積しろ、が正しい。,206,29
1.45937E+18,2021/11/13 13:00,Twitterにはお断りや挨拶をしてからフォローする仕組みはない。にもかかわらず「無断フォロー」という謎の不貞を文化的に作り出す。その謎文化に賛同する人々が「無断フォローは失礼だ」とする。その機能を最大限に活用する以前に人間は安全弁として謎のモラルを創作するわけだ。,196,10
1.47731E+18,2022/1/2 0:53,村上龍のいちばんよい言葉は「アナルセックスしたぐらいで自由になれると思うなよ」ですね。,194,8
1.34568E+18,2021/1/3 19:32,やはりセックスは4-5時間以上やらないとセックスって感じしない。。。,193,2
1.27475E+18,2020/6/22 1:54,セックスをすると若返るかどうかは別として、若くないとできないのは確かなので、若いうちにセックスはたくさんしておきましょう！,189,19
1.37038E+18,2021/3/12 23:30,アホみたいにセックスしてから、ラーメンを食べて、その後にいっかいセックスしてから、次の日は昼まで寝て、起きてからいっかいセックスしてビール飲んでランチ食べてからどうでもいい映画を一本見て、焼肉食べてから帰宅したい。,182,2
1.3555E+18,2021/1/30 21:39,浮気のバレ方はいろいろあるけど、シャツに赤い蝋燭がついているとか、カバンが麻縄臭いとかぐらいになると結構寛容になってくれますよ。,180,4
1.45305E+18,2021/10/27 2:37,「縛っていただけますか？」的な連絡をもらうわけですが、結構皆さん謙虚で「太っているけどよいですか？」とか「痩せているけど大丈夫ですか？」とか「全くオッパイがないけどよいですか？」とか言われるんだけど「宇宙人のGLAYみたいなんですが縛ってもらえますか？」っていうのが一番卓越でした。,179,8
1.19387E+18,2019/11/11 21:40,長岡の花火はさ、花火の領域を超えすぎてはいないか。 https://t.co/WKVN060SjC,174,22
1.50542E+18,2022/3/20 15:00,しつこいのは嫌われるが、押しが弱いは見放される。,169,10
1.49031E+18,2022/2/6 21:52,何かをしてもらった時に「ありがとう」とお礼を言う習慣を徹底的に仕込まれた行儀のよい人間には、ありがとうの感情がほとんど感じられない。,168,10
1.38049E+18,2021/4/9 20:59,全てを知ることが愛ではないのですよ。そこの嫉妬深い方々。,167,15
